condition,seed,checkpoint_episode,role,internal_episode_count,gamma,top_level_keys,model_state_keys,target_state_keys,architecture_signature,target_architecture_signature,parameter_tensor_elements,support_shape,scaler_mean_shape,scaler_scale_shape,optimizer_state_entries,optimizer_param_groups,max_model_target_abs_diff,loads_ok
1sen,36,100,attacker,100,0.95,model_state_dict|target_model_state_dict|optimizer_state_dict|gamma|episode_count|scaler_mean|scaler_scale,31,31,68e13e2de3dbf25d4c694b9687664b641b3de69ac415911c25f2ed8aa35cb969,68e13e2de3dbf25d4c694b9687664b641b3de69ac415911c25f2ed8aa35cb969,2596458,"(51,)","(567,)","(567,)",22,1,4.455132484436035,True
1sen,36,100,attacker_scout,100,0.95,model_state_dict|target_model_state_dict|optimizer_state_dict|gamma|episode_count|scaler_mean|scaler_scale,31,31,e01efece43ce32284707e12e5a4cbf956efa375ec86b97f025de36659937003f,e01efece43ce32284707e12e5a4cbf956efa375ec86b97f025de36659937003f,2596714,"(51,)","(569,)","(569,)",22,1,5.026660919189453,True
1sen,36,500,attacker,500,0.95,model_state_dict|target_model_state_dict|optimizer_state_dict|gamma|episode_count|scaler_mean|scaler_scale,31,31,68e13e2de3dbf25d4c694b9687664b641b3de69ac415911c25f2ed8aa35cb969,68e13e2de3dbf25d4c694b9687664b641b3de69ac415911c25f2ed8aa35cb969,2596458,"(51,)","(567,)","(567,)",22,1,5.546304702758789,True
1sen,36,500,attacker_scout,500,0.95,model_state_dict|target_model_state_dict|optimizer_state_dict|gamma|episode_count|scaler_mean|scaler_scale,31,31,e01efece43ce32284707e12e5a4cbf956efa375ec86b97f025de36659937003f,e01efece43ce32284707e12e5a4cbf956efa375ec86b97f025de36659937003f,2596714,"(51,)","(569,)","(569,)",22,1,5.138077735900879,True
1sen,36,1000,attacker,1000,0.95,model_state_dict|target_model_state_dict|optimizer_state_dict|gamma|episode_count|scaler_mean|scaler_scale,31,31,68e13e2de3dbf25d4c694b9687664b641b3de69ac415911c25f2ed8aa35cb969,68e13e2de3dbf25d4c694b9687664b641b3de69ac415911c25f2ed8aa35cb969,2596458,"(51,)","(567,)","(567,)",22,1,4.773068428039551,True
1sen,36,1000,attacker_scout,1000,0.95,model_state_dict|target_model_state_dict|optimizer_state_dict|gamma|episode_count|scaler_mean|scaler_scale,31,31,e01efece43ce32284707e12e5a4cbf956efa375ec86b97f025de36659937003f,e01efece43ce32284707e12e5a4cbf956efa375ec86b97f025de36659937003f,2596714,"(51,)","(569,)","(569,)",22,1,4.570497989654541,True
1sen,36,2000,attacker,2000,0.95,model_state_dict|target_model_state_dict|optimizer_state_dict|gamma|episode_count|scaler_mean|scaler_scale,31,31,68e13e2de3dbf25d4c694b9687664b641b3de69ac415911c25f2ed8aa35cb969,68e13e2de3dbf25d4c694b9687664b641b3de69ac415911c25f2ed8aa35cb969,2596458,"(51,)","(567,)","(567,)",22,1,4.540297985076904,True
1sen,36,2000,attacker_scout,2000,0.95,model_state_dict|target_model_state_dict|optimizer_state_dict|gamma|episode_count|scaler_mean|scaler_scale,31,31,e01efece43ce32284707e12e5a4cbf956efa375ec86b97f025de36659937003f,e01efece43ce32284707e12e5a4cbf956efa375ec86b97f025de36659937003f,2596714,"(51,)","(569,)","(569,)",22,1,5.338171005249023,True
1sen,36,5000,attacker,5000,0.95,model_state_dict|target_model_state_dict|optimizer_state_dict|gamma|episode_count|scaler_mean|scaler_scale,31,31,68e13e2de3dbf25d4c694b9687664b641b3de69ac415911c25f2ed8aa35cb969,68e13e2de3dbf25d4c694b9687664b641b3de69ac415911c25f2ed8aa35cb969,2596458,"(51,)","(567,)","(567,)",22,1,4.576277732849121,True
1sen,36,5000,attacker_scout,5000,0.95,model_state_dict|target_model_state_dict|optimizer_state_dict|gamma|episode_count|scaler_mean|scaler_scale,31,31,e01efece43ce32284707e12e5a4cbf956efa375ec86b97f025de36659937003f,e01efece43ce32284707e12e5a4cbf956efa375ec86b97f025de36659937003f,2596714,"(51,)","(569,)","(569,)",22,1,4.522202491760254,True
